t_s,t_days,phi_L_rad,phi_L_deg,varpi_io_rad,varpi_eu_rad,varpi_ga_rad,kappa_io,kappa_eu,kappa_ga,x_io,y_io,x_eu,y_eu,x_ga,y_ga
0.0,0.0,-3.141592653589793,-180.0,0.0,0.0,0.0,6.68386260454654e-09,4.201482481143209e-09,2.634015118329247e-09,-421800000.0,0.0,671100000.0,0.0,1070400000.0,0.0
300.0,0.003472222222222222,3.141590733951955,179.99989001285368,8.238625227520023e-11,2.5805292376055314e-11,8.031306591836606e-12,6.6838626269267255e-09,4.201482443604856e-09,2.6340151149273887e-09,-421767956.03729,-5199053.075377539,671087345.2314794,4121976.629570291,1070395024.0998138,3263843.023522039
600.0,0.006944444444444444,3.1415888150889844,179.999780070104,1.647725065315904e-10,5.161058333586615e-11,1.6062613148002254e-11,6.68386269406641e-09,4.201482330999601e-09,2.634015104723207e-09,-421671829.0173428,-10397316.203552688,671049381.4033198,8243797.778623427,1070380096.4453875,6527655.7369697
900.0,0.010416666666666666,3.1415868977755608,179.99967021613682,2.471587640898679e-10,7.741587193562584e-11,2.4093919644727574e-11,6.68386280596298e-09,4.201482143356852e-09,2.634015087720881e-09,-421511633.5439682,-15593999.557303889,670986109.9477097,12365307.972525997,1070355217.1751177,9791407.83054283
1200.0,0.013888888888888888,3.1415849827859947,179.99956049531687,3.295450262705863e-10,1.0322115723206198e-10,3.2125226058260095e-11,6.683862962612079e-09,4.2014818807255995e-09,2.634015063927372e-09,-421287393.9543852,-20788313.549353063,670897533.2515696,16486351.748411842,1070320386.5196639,13055068.994989736
1500.0,0.017361111111111112,3.1415830708940407,179.99945095197702,4.119312943940979e-10,1.290264382826495e-10,4.015653236487096e-11,6.6838631640076054e-09,4.201481543174372e-09,2.6340150333524137e-09,-420999144.3155276,-25979468.952291828,670783654.6564622,20606773.661065083,1070275604.8019464,16318608.921881398
1800.0,0.020833333333333332,3.1415811628727086,179.99934163040749,4.94317569780496e-10,1.5483171414582345e-10,4.8187838540861656e-11,6.683863410141716e-09,4.201481130791187e-09,2.634014996008504e-09,-420646928.4188715,-31166677.01845313,670644478.458466,24726418.28880245,1070220872.437143,19581997.303885728
2100.0,0.024305555555555556,3.141579259494087,179.99923257484562,5.767038537495573e-10,1.8063698388119101e-10,5.621914456257066e-11,6.6838637010048185e-09,4.201480643683474e-09,2.634014951910891e-09,-420230799.77378684,-36349149.59971006,670480009.9080132,28845130.239354663,1070156189.932685,22845203.83504177
2400.0,0.027777777777777776,3.1415773615291513,179.99912382946516,6.590901476206843e-10,2.0644224654974256e-10,6.425045040638008e-11,6.683864036585577e-09,4.201480081977991e-09,2.634014901077557e-09,-419750821.59941363,-41526099.26718379,670290255.2096914,32962754.155746635,1070081557.8882531,26108198.211033966
2700.0,0.03125,3.141575469747589,179.9990154383659,7.414764527128479e-10,2.322475012140621e-10,7.228175604872227e-11,6.6838644168709105e-09,4.201479445820725e-09,2.6340148435291985e-09,-419207066.8150634,-46696739.43084221,670075221.5220094,37079134.72217624,1069996976.9957707,29370950.12946639
3000.0,0.034722222222222224,3.1415735849176123,179.9989074455631,8.238627703445292e-10,2.5805274693853626e-10,8.031306146608631e-11,6.683864841845983e-09,4.201478735376775e-09,2.6340147792892044e-09,-418599618.0291487,-51860284.45897151,669834916.9571265,41194116.669891454,1069902448.0393976,32633429.290136985
3300.0,0.03819444444444445,3.14157170780578,179.99879989497745,9.062491018336618e-10,2.8385798278956243e-10,8.834436663502452e-11,6.6838653114942095e-09,4.2014779508302156e-09,2.6340147083836347e-09,-417928567.5266411,-57015949.797502145,669569350.5805469,45307544.78306561,1069797971.8955231,35895605.39531184
3600.0,0.041666666666666664,3.141569839176819,179.99869283042452,9.88635448497574e-10,3.0966320783575526e-10,9.637567153215881e-11,6.683865825797258e-09,4.201477092383963e-09,2.634014630841188e-09,-417194017.2550599,-62162952.0891715,669278532.4107765,49419263.904670455,1069683549.5327567,39157448.14999941
3900.0,0.04513888888888889,3.141567979793443,179.99858629560458,1.0710218116529313e-09,3.354684211481517e-10,1.0440697613418706e-10,6.683866384735026e-09,4.2014761602596025e-09,2.6340145466931737e-09,-416396078.80899477,-67300509.29250474,668962473.4189454,53529118.942347005,1069559182.0119197,42418927.26222482
4200.0,0.04861111111111111,3.141566130416183,179.99848033409285,1.1534081926156775e-09,3.612736218004145e-10,1.1243828041788936e-10,6.683866988285674e-09,4.201475154697219e-09,2.6340144559734813e-09,-415534873.41316205,-72427840.80059628,668621185.5283929,57636954.874273635,1069424870.4860348,45680012.44330414
4500.0,0.052083333333333336,3.1415642918032045,179.99837498932902,1.2357945927009775e-09,3.8707880886903404e-10,1.204695843601341e-10,6.683867636425585e-09,4.201474075955213e-09,2.6340143587185426e-09,-414610531.90400076,-77544167.55967334,668254681.6142175,61742616.755031444,1069280616.2003148,48940673.408118606
4800.0,0.05555555555555555,3.14156246471014,179.99827030460764,1.3181810132231583e-09,4.128839814335279e-10,1.2850088793788416e-10,6.683868329129389e-09,4.201472924310092e-09,2.634014254967295e-09,-413623194.70980793,-82648712.187424,667862975.5027909,65845949.721466534,1069126420.4921515,52200879.875389
5100.0,0.059027777777777776,3.141560649889918,179.99816632306835,1.4005674554956514e-09,4.386891385766389e-10,1.3653219112820273e-10,6.683869066369944e-09,4.2014717000562645e-09,2.6340141447611423e-09,-412573011.8294185,-87740699.09107165,667446081.9712353,69946798.99854898,1068962284.791102,55460601.567949876
5400.0,0.0625,3.141558848092595,179.9980630876862,1.482953920830934e-09,4.6449427938453064e-10,1.4456349390825931e-10,6.683869848118345e-09,4.201470403505804e-09,2.634014028143912e-09,-411460142.80943155,-92819354.58517782,667004016.7468656,74045009.90522832,1068788210.6188762,58719808.213023864
5700.0,0.06597222222222222,3.1415570600651828,179.99796064126184,1.5653404105404706e-09,4.90299402946981e-10,1.525947962553354e-10,6.683870674343909e-09,4.201469034988218e-09,2.6340139051618098e-09,-410284756.7199876,-97883907.0091557,666536796.5065957,78140427.86028521,1068604199.5893217,61978469.54249604
6000.0,0.06944444444444445,3.141555286551492,179.99785902641244,1.6477269259346542e-09,5.161045083575734e-10,1.6062609814683007e-10,6.683871545014179e-09,4.20146759485019e-09,2.6340137758633748e-09,-409047032.12909883,-102933586.84447646,666044438.8763078,82232898.38817908,1068410253.4084085,65236555.29318821
6300.0,0.07291666666666667,3.1415535282919667,179.99775828556236,1.7301134683227483e-09,5.419095947138847e-10,1.6865739956026563e-10,6.683872460094919e-09,4.201466083455323e-09,2.6340136402994305e-09,-407747157.0755387,-107967626.83155037,665526962.4301876,86322267.12489177,1068206373.8742131,68494035.2071332
6600.0,0.0763888888888889,3.1415517860235243,179.99765846093382,1.8125000390128268e-09,5.677146611176724e-10,1.7668870047329288e-10,6.683873419550104e-09,4.201464501183861e-09,2.6340134985230347e-09,-406385329.04029256,-112985262.08626546,664984386.690022,90408379.8237664,1067992562.8769015,71750879.03184932
6900.0,0.0798611111111111,3.141550060479398,179.99755959453802,1.8948866393117156e-09,5.935197066750566e-10,1.847200008636965e-10,6.683874423341928e-09,4.201462848432413e-09,2.6340133505894252e-09,-404961754.9165747,-117985730.21616553,664416732.1244617,94491082.36134167,1067768822.3987108,75007056.52061455
7200.0,0.08333333333333333,3.1415483523889884,179.99746172816654,1.9772732705249342e-09,6.19324730496702e-10,1.927513007094001e-10,6.683875471430787e-09,4.201461125613648e-09,2.63401319655597e-09,-403476650.97841716,-122968271.43625014,663824020.1482486,98570220.74318148,1067535154.5139314,78262537.43274103
